codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4766,MP 365,0.05,KG,090701
4766,MP 376,2.75,KG,20220824024
4766,MP 385,0.2,KG,2211123861/001
4766,MP 410,0.05,KG,20201205RA-50
4766,MP 428,0.05,KG,2211102266
4766,MPHM14,0.15,KG,RU009/22
4766,MP 455,2.5,KG,221031
4766,MP 456,3.225,KG,221018
4766,MP 457,11.025,KG,AHB004
4766,MP 500,3.0,KG,L22C173206
4766,MP 541,2.0,KG,222283411
4767,MP 365,0.05,KG,090701
4767,MP 376,2.75,KG,20220824024
4767,MP 385,0.2,KG,2211123861/001
4767,MP 410,0.05,KG,20201205RA-50
4767,MP 428,0.05,KG,2211102266
4767,MPHM14,0.15,KG,RU009/22
4767,MP 455,2.5,KG,221031
4767,MP 456,3.225,KG,221018
4767,MP 457,11.025,KG,AHB004
4767,MP 500,3.0,KG,L22C173206
4767,MP 541,2.0,KG,222283411
4768,MP 365,0.05,KG,090701
4768,MP 376,2.75,KG,20220824024
4768,MP 385,0.2,KG,2211123861/001
4768,MP 410,0.05,KG,20201205RA-50
4768,MP 428,0.05,KG,2211102266
4768,MPHM14,0.15,KG,RU009/22
4768,MP 455,2.5,KG,221031
4768,MP 456,3.225,KG,221018
4768,MP 457,11.025,KG,AHB004
4768,MP 500,3.0,KG,L22C173206
4768,MP 541,2.0,KG,222453411
4769,MP 364,2.0,KG,20220516
4770,MP 364,0.06111,KG,20220516
4770,MPHM6,12.2222,KG,1269
4771,MP 364,0.18611,KG,20220516
4773,PI7,2.0,KG,L04161122
